Code,Description
100,Non-Hispanic
101,Non-Hispanic
102,Non-Hispanic
103,Non-Hispanic
104,Non-Hispanic
105,Non-Hispanic
106,Non-Hispanic
107,Non-Hispanic
108,Non-Hispanic
109,Non-Hispanic
110,Non-Hispanic
111,Non-Hispanic
112,Non-Hispanic
113,Non-Hispanic
114,Non-Hispanic
115,Non-Hispanic
116,Non-Hispanic
117,Non-Hispanic
118,Non-Hispanic
119,Non-Hispanic
120,Non-Hispanic
121,Non-Hispanic
122,Non-Hispanic
123,Non-Hispanic
124,Non-Hispanic
125,Non-Hispanic
126,Non-Hispanic
127,Non-Hispanic
128,Non-Hispanic
129,Non-Hispanic
130,Non-Hispanic
131,Non-Hispanic
132,Non-Hispanic
133,Non-Hispanic
134,Non-Hispanic
135,Non-Hispanic
136,Non-Hispanic
137,Non-Hispanic
138,Non-Hispanic
139,Non-Hispanic
140,Non-Hispanic
141,Non-Hispanic
142,Non-Hispanic
143,Non-Hispanic
144,Non-Hispanic
145,Non-Hispanic
146,Non-Hispanic
147,Non-Hispanic
148,Non-Hispanic
149,Non-Hispanic
150,Non-Hispanic
151,Non-Hispanic
152,Non-Hispanic
153,Non-Hispanic
154,Non-Hispanic
155,Non-Hispanic
156,Non-Hispanic
157,Non-Hispanic
158,Non-Hispanic
159,Non-Hispanic
160,Non-Hispanic
161,Non-Hispanic
162,Non-Hispanic
163,Non-Hispanic
164,Non-Hispanic
165,Non-Hispanic
166,Non-Hispanic
167,Non-Hispanic
168,Non-Hispanic
169,Non-Hispanic
170,Non-Hispanic
171,Non-Hispanic
172,Non-Hispanic
173,Non-Hispanic
174,Non-Hispanic
175,Non-Hispanic
176,Non-Hispanic
177,Non-Hispanic
178,Non-Hispanic
179,Non-Hispanic
180,Non-Hispanic
181,Non-Hispanic
182,Non-Hispanic
183,Non-Hispanic
184,Non-Hispanic
185,Non-Hispanic
186,Non-Hispanic
187,Non-Hispanic
188,Non-Hispanic
189,Non-Hispanic
190,Non-Hispanic
191,Non-Hispanic
192,Non-Hispanic
193,Non-Hispanic
194,Non-Hispanic
195,Non-Hispanic
196,Non-Hispanic
197,Non-Hispanic
198,Non-Hispanic
199,Non-Hispanic
200,Spaniard
201,Spaniard
202,Spaniard
203,Spaniard
204,Spaniard
205,Spaniard
206,Spaniard
207,Spaniard
208,Spaniard
209,Spaniard
210,Mexican
211,Mexican
212,Mexican
213,Mexican
214,Mexican
215,Mexican
216,Mexican
217,Mexican
218,Mexican
219,Mexican
220,"Central and South American"
221,"Central American"
222,"Central American"
223,"Central American"
224,"Central American"
225,"Central American"
226,"Central American"
227,"Central American"
228,"Central American"
229,"Central American"
230,"Central American"
231,"South American"
232,"South American"
233,"South American"
234,"South American"
235,"South American"
236,"South American"
237,"South American"
238,"South American"
239,"South American"
240,"South American"
241,"South American"
242,"South American"
243,"South American"
244,"South American"
245,"South American"
246,"South American"
247,"South American"
248,"South American"
249,"South American"
250,"Latin American"
251,"Latin American"
252,"Latin American"
253,"Latin American"
254,"Latin American"
255,"Latin American"
256,"Latin American"
257,"Latin American"
258,"Latin American"
259,"Latin American"
260,"Puerto Rican"
261,"Puerto Rican"
262,"Puerto Rican"
263,"Puerto Rican"
264,"Puerto Rican"
265,"Puerto Rican"
266,"Puerto Rican"
267,"Puerto Rican"
268,"Puerto Rican"
269,"Puerto Rican"
270,Cuban
271,Cuban
272,Cuban
273,Cuban
274,Cuban
275,Dominican
276,Dominican
277,Dominican
278,Dominican
279,Dominican
280,"Other Hispanic"
281,"Other Hispanic"
282,"Other Hispanic"
283,"Other Hispanic"
284,"Other Hispanic"
285,"Other Hispanic"
286,"Other Hispanic"
287,"Other Hispanic"
288,"Other Hispanic"
289,"Other Hispanic"
290,"Other Hispanic"
291,"Other Hispanic"
292,"Other Hispanic"
293,"Other Hispanic"
294,"Other Hispanic"
295,"Other Hispanic"
296,"Other Hispanic"
297,"Other Hispanic"
298,"Other Hispanic"
299,"Other Hispanic"
996,Unknown
997,Unknown
998,Unknown
999,Unknown
