Code,Description
0,"Age 1 year and over or not stated"
1,"Under 1 hour (includes not stated hours and minutes)"
2,"1 - 23 hours"
3,"1 day (includes not stated days)"
4,"2 days"
5,"3 days"
6,"4 days"
7,"5 days"
8,"6 days"
9,"7-13 days (includes not stated weeks)"
10,"14 - 20 days"
11,"21 - 27 days"
12,"1 month (includes not stated months)"
13,"2 months"
14,"3 months"
15,"4 months"
16,"5 months"
17,"6 months"
18,"7 months"
19,"8 months"
20,"9 months"
21,"10 months"
22,"11 months"
